============================================================================================================================================================================================================================================================================================ 
Input  ECAL_01   ECAL_02   ECAL_03   ECAL_04   ECAL_05   ECAL_06   ECAL_07   ECAL_08   ECAL_09   ECAL_10   ECAL_11   ECAL_12   ECAL_13   ECAL_14   ECAL_15   ECAL_16   ECAL_17   ECAL_18   ECAL_19   ECAL_20   ECAL_21   ECAL_22   ECAL_23   ECAL_24   ECAL_25   ECAL_26   ECAL_27   ECAL_28 
0x028   0x502c    0x502c    0x502c    0x502c    0x502c    0x502d    0x502d    0x502e    0x502e    0x502f    0x502e    0x502e    0x5030    0x5031    0x5031    0x5031    0x5034    0x503a    0x5031    0x5035    0x5035    0x5036    0x5034    0x5033    0x5032    0x5031    0x5028    0x5028    
0x029   0x502d    0x502d    0x502d    0x502e    0x502e    0x502f    0x502e    0x502f    0x502f    0x5030    0x502f    0x5030    0x5031    0x5032    0x5032    0x5033    0x5035    0x503c    0x5032    0x5036    0x5037    0x5037    0x5035    0x5034    0x5034    0x5032    0x5029    0x5029    
0x02a   0x502e    0x502e    0x502e    0x502f    0x502f    0x5030    0x5030    0x5030    0x5030    0x5031    0x5031    0x5031    0x5033    0x5034    0x5033    0x5034    0x5036    0x503d    0x5033    0x5037    0x5038    0x5038    0x5036    0x5035    0x5035    0x5034    0x502a    0x502a    
0x02b   0x5030    0x5030    0x5030    0x5030    0x5030    0x5031    0x5031    0x5031    0x5032    0x5033    0x5032    0x5032    0x5034    0x5035    0x5034    0x5035    0x5037    0x503f    0x5034    0x5039    0x5039    0x503a    0x5037    0x5037    0x5036    0x5035    0x502b    0x502b    
0x02c   0x5031    0x5031    0x5031    0x5031    0x5031    0x5032    0x5032    0x5032    0x5033    0x5034    0x5033    0x5033    0x5035    0x5036    0x5036    0x5036    0x5039    0x6040    0x5036    0x503a    0x503b    0x503b    0x5039    0x5038    0x5037    0x5036    0x502c    0x502c    
0x02d   0x5032    0x5032    0x5032    0x5032    0x5032    0x5033    0x5033    0x5033    0x5034    0x5035    0x5034    0x5034    0x5036    0x5037    0x5037    0x5038    0x503a    0x6042    0x5037    0x503b    0x503c    0x503c    0x503a    0x5039    0x5039    0x5037    0x502d    0x502d    
0x02e   0x5033    0x5033    0x5033    0x5033    0x5033    0x5034    0x5034    0x5035    0x5035    0x5036    0x5035    0x5036    0x5038    0x5038    0x5038    0x5039    0x503b    0x6043    0x5038    0x503d    0x503e    0x503e    0x503b    0x503b    0x503a    0x5039    0x502e    0x502e    
0x02f   0x5034    0x5034    0x5034    0x5034    0x5034    0x5035    0x5035    0x5036    0x5036    0x5037    0x5037    0x5037    0x5039    0x503a    0x5039    0x503a    0x503d    0x6045    0x5039    0x503e    0x503f    0x503f    0x503d    0x503c    0x503b    0x503a    0x502f    0x502f    
0x030   0x5035    0x5035    0x5035    0x5035    0x5035    0x5037    0x5036    0x5037    0x5037    0x5038    0x5038    0x5038    0x503a    0x503b    0x503b    0x503b    0x503e    0x6046    0x503a    0x503f    0x6040    0x6040    0x503e    0x503d    0x503c    0x503b    0x5030    0x5030    
0x031   0x5036    0x5036    0x5036    0x5037    0x5037    0x5038    0x5038    0x5038    0x5039    0x503a    0x5039    0x5039    0x503b    0x503c    0x503c    0x503d    0x503f    0x6048    0x503c    0x6041    0x6042    0x6042    0x503f    0x503e    0x503e    0x503c    0x5031    0x5031    
0x032   0x5036    0x5036    0x5036    0x5036    0x5036    0x5037    0x5037    0x5037    0x5037    0x5038    0x5038    0x5039    0x503a    0x503a    0x503b    0x503a    0x503e    0x6044    0x503c    0x6040    0x6040    0x6041    0x503f    0x503e    0x503e    0x503d    0x5032    0x5032    
